Match_ID,Date,Venue,Team_A,Team_B,Stage,Team_A_Ranking,Team_B_Ranking,Team_A_Form,Team_B_Form,HeadToHead_A_Wins,HeadToHead_B_Wins,Venue_HomeAdvantage_A,Venue_HomeAdvantage_B,Pitch_Type,Avg_T20_Score_Venue,Toss_Winner,Toss_Decision,Team_A_Tech_Index,Team_B_Tech_Index,Match_Total
M0001,2026-03-06,Chennai,New Zealand,Scotland,Super8,5,13,76.97,54.62,6,4,0,0,Spin-Friendly,155,Team_A,Field,251.27,156.37,168
M0002,2026-03-07,Mumbai,South Africa,Sri Lanka,Final,6,9,64.19,58.75,13,6,0,0,Flat,175,Team_B,Bat,249.33,187.44,150
M0003,2026-03-02,Kolkata,India,PNG,Group,1,20,69.87,45.14,13,0,1,0,Spin-Friendly,165,Team_B,Field,298.24,54.03,160
M0004,2026-02-22,Colombo,Netherlands,Ireland,Group,11,12,85.59,61.94,10,4,0,0,Spin-Friendly,160,Team_A,Bat,197.19,174.95,145
M0005,2026-02-28,Mumbai,Namibia,South Africa,Group,15,6,45.98,88.52,3,15,0,0,Flat,175,Team_B,Bat,124.91,271.68,185
M0006,2026-02-24,Colombo,Afghanistan,USA,Group,8,17,53.35,58.92,7,3,0,0,Spin-Friendly,160,Team_B,Field,204.72,117.29,163
M0007,2026-03-02,Ahmedabad,USA,Nepal,Group,17,19,46.84,40.99,4,2,0,0,Flat,180,Team_B,Bat,115.43,76.68,153
M0008,2026-02-13,Kolkata,Oman,South Africa,Group,16,6,38.69,71.34,2,4,0,0,Spin-Friendly,165,Team_B,Bat,101.28,248.24,192
M0009,2026-02-16,Delhi,Canada,Ireland,Group,18,12,37.61,54.91,2,1,0,0,Pace-Friendly,170,Team_A,Bat,77.14,179.31,166
M0010,2026-02-24,Colombo,Pakistan,South Africa,Group,4,6,85.8,61.02,2,2,0,0,Spin-Friendly,160,Team_B,Bat,284.02,241.05,150
M0011,2026-02-27,Kolkata,Netherlands,PNG,Group,11,20,63.61,57.38,18,9,0,0,Spin-Friendly,165,Team_B,Bat,211.39,76.02,157
M0012,2026-02-21,Chennai,India,Netherlands,Group,1,11,65.81,70.42,8,2,1,0,Spin-Friendly,155,Team_A,Field,298.06,194.08,155
M0013,2026-03-05,Ahmedabad,Ireland,West Indies,Super8,12,7,49.92,62.98,2,0,0,0,Flat,180,Team_B,Bat,169.53,243.85,194
M0014,2026-02-11,Kolkata,Nepal,Canada,Group,19,18,57.72,47.76,15,10,0,0,Spin-Friendly,165,Team_B,Bat,92.1,91.53,131
M0015,2026-02-26,Chennai,Canada,Bangladesh,Group,18,10,48.96,64.61,1,18,0,0,Spin-Friendly,155,Team_A,Field,74.12,206.97,137
M0016,2026-03-06,Mumbai,Sri Lanka,England,Group,9,3,68.53,74.34,5,13,0,0,Flat,175,Team_B,Bat,227.62,288.54,182
M0017,2026-02-10,Colombo,Canada,Zimbabwe,Group,18,14,26.81,53.73,10,20,0,0,Spin-Friendly,160,Team_A,Field,74.03,139.87,144
M0018,2026-02-12,Kolkata,New Zealand,Oman,Group,5,16,76.78,47.41,14,3,0,0,Spin-Friendly,165,Team_A,Bat,259.7,106.06,190
M0019,2026-02-16,Chennai,USA,West Indies,Super8,17,7,55.91,58.91,0,1,0,0,Spin-Friendly,155,Team_A,Bat,123.95,234.84,143
M0020,2026-02-28,Ahmedabad,PNG,Oman,Group,20,16,37.07,59.23,2,5,0,0,Flat,180,Team_B,Field,68.66,127.2,162
